id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	6	6	0	6	0	0
2	0	10	10	93	59	16	83	8	0
3	0	56	56	479	217	196	423	10	0
0	0	0	0	479	197	0	479	282	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	6	6	0	6	0	0
2	0	10	10	93	59	16	83	8	0
5	0	86	164	166	2	0	80	78	78
4	0	71	93	275	34	46	204	124	22
6	0	95	166	448	117	97	353	139	71
3	0	56	56	578	217	196	522	109	0
0	0	0	0	578	143	0	578	435	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	6	6	0	6	0	0
2	0	10	10	93	59	16	83	8	0
5	0	86	164	166	2	0	80	78	78
7	0	103	175	265	7	7	162	148	72
4	0	71	93	282	34	46	211	131	22
8	0	285	285	491	74	50	206	82	0
6	0	95	166	503	117	97	408	194	71
3	0	56	56	662	217	196	606	193	0
9	0	335	406	803	128	211	468	129	71
0	0	0	0	803	159	0	803	644	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	6	6	0	6	0	0
2	0	10	10	93	59	16	83	8	0
5	0	86	164	166	2	0	80	78	78
7	0	103	175	265	7	7	162	148	72
4	0	71	93	282	34	46	211	131	22
10	0	368	470	480	10	0	112	102	102
8	0	285	285	501	74	50	216	92	0
6	0	95	166	513	117	97	418	204	71
12	0	531	596	677	25	16	146	105	65
3	0	56	56	704	217	196	648	235	0
11	0	526	569	814	93	79	288	116	43
9	0	335	406	881	128	211	546	207	71
0	0	0	0	881	109	0	881	772	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	6	6	0	6	0	0
2	0	10	10	93	59	16	83	8	0
5	0	86	164	166	2	0	80	78	78
7	0	103	175	265	7	7	162	148	72
4	0	71	93	282	34	46	211	131	22
10	0	368	470	480	10	0	112	102	102
8	0	285	285	501	74	50	216	92	0
6	0	95	166	513	117	97	418	204	71
12	0	531	596	720	25	16	189	148	65
14	0	562	611	774	46	10	212	156	49
3	0	56	56	798	217	196	742	329	0
13	0	553	600	817	37	46	264	181	47
15	0	567	613	855	49	78	288	161	46
11	0	526	569	942	93	79	416	244	43
9	0	335	406	1009	128	211	674	335	71
0	0	0	0	1009	105	0	1009	904	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	6	6	0	6	0	0
2	0	10	10	93	59	16	83	8	0
5	0	86	164	166	2	0	80	78	78
7	0	103	175	265	7	7	162	148	72
4	0	71	93	282	34	46	211	131	22
10	0	368	470	480	10	0	112	102	102
8	0	285	285	501	74	50	216	92	0
6	0	95	166	513	117	97	418	204	71
12	0	531	596	720	25	16	189	148	65
14	0	562	611	774	46	10	212	156	49
16	0	693	777	789	12	0	96	84	84
3	0	56	56	816	217	196	760	347	0
13	0	553	600	852	37	46	299	216	47
15	0	567	613	878	49	78	311	184	46
18	0	702	793	984	44	50	282	188	91
11	0	526	569	1018	93	79	492	320	43
9	0	335	406	1123	128	211	788	449	71
17	0	694	789	1163	118	139	469	212	95
0	0	0	0	1163	85	0	1163	1078	0
