id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	15	0	0	6	6	0	6	0	0
2	24	10	10	93	59	16	83	8	0
3	21	56	56	479	217	196	423	10	0
0	0	0	0	479	197	0	479	282	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	15	0	0	6	6	0	6	0	0
2	24	10	10	93	59	16	83	8	0
5	15	86	153	155	2	0	69	67	67
4	10	71	164	286	34	46	215	135	93
6	25	95	155	433	117	97	338	124	60
3	21	56	56	563	217	196	507	94	0
0	0	0	0	563	128	0	563	435	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	15	0	0	6	6	0	6	0	0
2	24	10	10	93	59	16	83	8	0
5	15	86	153	155	2	0	69	67	67
7	9	103	155	171	7	7	68	54	52
4	10	71	171	303	34	46	232	152	100
6	25	95	159	576	117	97	481	267	64
8	31	285	291	580	74	50	295	171	6
3	21	56	56	639	217	196	583	170	0
9	14	335	389	799	128	211	464	125	54
0	0	0	0	799	155	0	799	644	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	15	0	0	6	6	0	6	0	0
2	24	10	10	93	59	16	83	8	0
5	15	86	153	155	2	0	69	67	67
7	9	103	155	171	7	7	68	54	52
4	10	71	171	303	34	46	232	152	100
10	15	368	389	399	10	0	31	21	21
12	9	531	564	616	25	16	85	44	33
6	25	95	159	657	117	97	562	348	64
3	21	56	56	681	217	196	625	212	0
8	31	285	291	685	74	50	400	276	6
11	8	526	537	806	93	79	280	108	11
9	14	335	399	873	128	211	538	199	64
0	0	0	0	873	101	0	873	772	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	15	0	0	6	6	0	6	0	0
2	24	10	10	93	59	16	83	8	0
5	15	86	153	155	2	0	69	67	67
7	9	103	155	171	7	7	68	54	52
4	10	71	171	303	34	46	232	152	100
10	15	368	389	399	10	0	31	21	21
12	9	531	564	630	25	16	99	58	33
14	8	562	640	713	46	10	151	95	78
13	12	553	568	750	37	46	197	114	15
3	21	56	56	762	217	196	706	293	0
6	25	95	159	794	117	97	699	485	64
8	31	285	291	801	74	50	516	392	6
15	12	567	579	881	49	78	314	187	12
11	8	526	537	915	93	79	389	217	11
9	14	335	399	982	128	211	647	308	64
0	0	0	0	982	78	0	982	904	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	15	0	0	6	6	0	6	0	0
2	24	10	10	93	59	16	83	8	0
5	15	86	153	155	2	0	69	67	67
7	9	103	155	171	7	7	68	54	52
4	10	71	171	303	34	46	232	152	100
10	15	368	389	399	10	0	31	21	21
12	9	531	564	630	25	16	99	58	33
14	8	562	640	713	46	10	151	95	78
13	12	553	568	733	37	46	180	97	15
16	15	693	735	747	12	0	54	42	42
18	10	702	733	863	44	50	161	67	31
3	21	56	56	867	217	196	811	398	0
6	25	95	159	979	117	97	884	670	64
8	31	285	291	986	74	50	701	577	6
9	14	335	399	1017	128	211	682	343	64
15	12	567	579	1042	49	78	475	348	12
11	8	526	537	1104	93	79	578	406	11
17	27	694	727	1107	118	139	413	156	33
0	0	0	0	1107	29	0	1107	1078	0
