id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	16	23	45	142	71	16	119	32	22
1	27	0	0	167	82	42	167	43	0
3	13	111	142	169	14	7	58	37	31
0	0	0	0	169	2	0	169	167	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	16	23	45	142	71	16	119	32	22
1	27	0	0	167	82	42	167	43	0
3	13	111	142	169	14	7	58	37	31
5	9	182	185	210	5	20	28	3	3
6	8	219	219	305	2	84	86	0	0
4	7	169	169	332	75	88	163	0	0
0	0	0	0	332	83	0	332	249	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	16	23	45	142	71	16	119	32	22
1	27	0	0	167	82	42	167	43	0
3	13	111	142	169	14	7	58	37	31
5	9	182	185	210	5	20	28	3	3
6	8	219	219	315	2	84	96	10	0
9	19	295	315	377	31	15	82	36	20
8	18	231	238	418	48	52	187	87	7
4	7	169	169	429	75	88	260	97	0
7	9	220	220	614	154	140	394	100	0
0	0	0	0	614	132	0	614	482	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	16	23	45	142	71	16	119	32	22
1	27	0	0	167	82	42	167	43	0
3	13	111	142	169	14	7	58	37	31
5	9	182	185	210	5	20	28	3	3
6	8	219	219	315	2	84	96	10	0
8	18	231	238	405	48	52	174	74	7
9	19	295	315	414	31	15	119	73	20
4	7	169	169	500	75	88	331	168	0
11	11	453	500	557	19	26	104	59	47
12	13	502	507	582	36	9	80	35	5
10	18	325	367	603	113	31	278	134	42
7	9	220	220	767	154	140	547	253	0
0	0	0	0	767	117	0	767	650	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	16	23	45	142	71	16	119	32	22
1	27	0	0	167	82	42	167	43	0
3	13	111	142	169	14	7	58	37	31
5	9	182	185	210	5	20	28	3	3
6	8	219	219	315	2	84	96	10	0
8	18	231	238	405	48	52	174	74	7
9	19	295	315	414	31	15	119	73	20
4	7	169	169	500	75	88	331	168	0
11	11	453	500	557	19	26	104	59	47
12	13	502	507	582	36	9	80	35	5
10	18	325	367	700	113	31	375	231	42
14	34	608	608	767	77	6	159	76	0
13	8	542	582	841	60	81	299	158	40
7	9	220	220	880	154	140	660	366	0
15	16	637	686	896	72	96	259	91	49
0	0	0	0	896	37	0	896	859	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	16	23	45	142	71	16	119	32	22
1	27	0	0	167	82	42	167	43	0
3	13	111	142	169	14	7	58	37	31
5	9	182	185	210	5	20	28	3	3
6	8	219	219	315	2	84	96	10	0
8	18	231	238	405	48	52	174	74	7
9	19	295	315	414	31	15	119	73	20
4	7	169	169	500	75	88	331	168	0
11	11	453	500	557	19	26	104	59	47
12	13	502	507	582	36	9	80	35	5
10	18	325	367	700	113	31	375	231	42
16	15	719	755	774	19	0	55	36	36
14	34	608	608	803	77	6	195	112	0
13	8	542	582	876	60	81	334	193	40
15	16	637	686	904	72	96	267	99	49
7	9	220	220	932	154	140	712	418	0
17	15	994	994	1004	10	0	10	0	0
18	29	1027	1027	1262	171	64	235	0	0
0	0	0	0	1262	203	0	1262	1059	0
