id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	23	40	163	71	16	140	53	17
3	0	111	133	165	14	7	54	33	22
1	0	0	0	185	82	42	185	61	0
0	0	0	0	185	18	0	185	167	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	23	40	163	71	16	140	53	17
3	0	111	133	165	14	7	54	33	22
1	0	0	0	198	82	42	198	74	0
5	0	182	198	223	5	20	41	16	16
6	0	219	219	305	2	84	86	0	0
4	0	169	169	340	75	88	171	8	0
0	0	0	0	340	91	0	340	249	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	23	40	163	71	16	140	53	17
3	0	111	133	165	14	7	54	33	22
1	0	0	0	198	82	42	198	74	0
5	0	182	198	240	5	20	58	33	16
6	0	219	219	357	2	84	138	52	0
9	0	295	316	408	31	15	113	67	21
8	0	231	240	412	48	52	181	81	9
4	0	169	169	436	75	88	267	104	0
7	0	220	220	606	154	140	386	92	0
0	0	0	0	606	124	0	606	482	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	23	40	163	71	16	140	53	17
3	0	111	133	165	14	7	54	33	22
1	0	0	0	198	82	42	198	74	0
5	0	182	198	240	5	20	58	33	16
6	0	219	219	357	2	84	138	52	0
9	0	295	316	440	31	15	145	99	21
8	0	231	240	443	48	52	212	112	9
4	0	169	169	491	75	88	322	159	0
11	0	453	473	554	19	26	101	56	20
12	0	502	531	622	36	9	120	75	29
10	0	325	380	646	113	31	321	177	55
7	0	220	220	713	154	140	493	199	0
0	0	0	0	713	63	0	713	650	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	23	40	163	71	16	140	53	17
3	0	111	133	165	14	7	54	33	22
1	0	0	0	198	82	42	198	74	0
5	0	182	198	240	5	20	58	33	16
6	0	219	219	357	2	84	138	52	0
9	0	295	316	440	31	15	145	99	21
8	0	231	240	443	48	52	212	112	9
4	0	169	169	491	75	88	322	159	0
11	0	453	473	554	19	26	101	56	20
12	0	502	531	641	36	9	139	94	29
10	0	325	380	704	113	31	379	235	55
7	0	220	220	840	154	140	620	326	0
13	0	542	581	858	60	81	316	175	39
14	0	608	641	862	77	6	254	171	33
15	0	637	663	917	72	96	280	112	26
0	0	0	0	917	58	0	917	859	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	23	40	163	71	16	140	53	17
3	0	111	133	165	14	7	54	33	22
1	0	0	0	198	82	42	198	74	0
5	0	182	198	240	5	20	58	33	16
6	0	219	219	357	2	84	138	52	0
9	0	295	316	440	31	15	145	99	21
8	0	231	240	443	48	52	212	112	9
4	0	169	169	491	75	88	322	159	0
11	0	453	473	554	19	26	101	56	20
12	0	502	531	641	36	9	139	94	29
10	0	325	380	704	113	31	379	235	55
16	0	719	737	756	19	0	37	18	18
7	0	220	220	859	154	140	639	345	0
13	0	542	581	877	60	81	335	194	39
14	0	608	641	881	77	6	273	190	33
15	0	637	663	936	72	96	299	131	26
17	0	994	994	1004	10	0	10	0	0
18	0	1027	1027	1262	171	64	235	0	0
0	0	0	0	1262	203	0	1262	1059	0
