id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	12	5	7	12	0	0
2	0	49	49	219	41	129	170	0	0
3	0	143	143	397	108	144	254	2	0
0	0	0	0	397	243	0	397	154	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	12	5	7	12	0	0
2	0	49	49	234	41	129	185	15	0
4	0	197	197	270	38	35	73	0	0
5	0	265	270	331	26	23	66	17	5
6	0	289	289	371	45	9	82	28	0
3	0	143	143	446	108	144	303	51	0
0	0	0	0	446	183	0	446	263	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	12	5	7	12	0	0
2	0	49	49	234	41	129	185	15	0
4	0	197	197	270	38	35	73	0	0
5	0	265	270	331	26	23	66	17	5
6	0	289	289	371	45	9	82	28	0
3	0	143	143	446	108	144	303	51	0
8	0	454	454	535	23	23	81	35	0
9	0	495	535	619	36	16	124	72	40
7	0	369	429	633	104	77	264	83	60
0	0	0	0	633	207	0	633	426	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	12	5	7	12	0	0
2	0	49	49	234	41	129	185	15	0
4	0	197	197	270	38	35	73	0	0
5	0	265	270	331	26	23	66	17	5
6	0	289	289	371	45	9	82	28	0
3	0	143	143	446	108	144	303	51	0
8	0	454	454	535	23	23	81	35	0
9	0	495	535	621	36	16	126	74	40
10	0	551	618	664	8	2	113	103	67
7	0	369	429	667	104	77	298	117	60
12	0	600	640	682	25	7	82	50	40
11	0	596	621	703	37	22	107	48	25
0	0	0	0	703	207	0	703	496	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	12	5	7	12	0	0
2	0	49	49	234	41	129	185	15	0
4	0	197	197	270	38	35	73	0	0
5	0	265	270	331	26	23	66	17	5
6	0	289	289	371	45	9	82	28	0
3	0	143	143	446	108	144	303	51	0
8	0	454	454	535	23	23	81	35	0
9	0	495	535	621	36	16	126	74	40
10	0	551	618	664	8	2	113	103	67
7	0	369	429	667	104	77	298	117	60
12	0	600	640	694	25	7	94	62	40
14	0	676	694	697	3	0	21	18	18
11	0	596	621	716	37	22	120	61	25
13	0	654	675	816	58	74	162	30	21
15	0	709	709	844	42	66	135	27	0
0	0	0	0	844	245	0	844	599	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	12	5	7	12	0	0
2	0	49	49	234	41	129	185	15	0
4	0	197	197	270	38	35	73	0	0
5	0	265	270	331	26	23	66	17	5
6	0	289	289	371	45	9	82	28	0
3	0	143	143	446	108	144	303	51	0
8	0	454	454	535	23	23	81	35	0
9	0	495	535	621	36	16	126	74	40
10	0	551	618	664	8	2	113	103	67
7	0	369	429	667	104	77	298	117	60
12	0	600	640	694	25	7	94	62	40
14	0	676	694	697	3	0	21	18	18
11	0	596	621	716	37	22	120	61	25
17	0	743	746	769	23	0	26	3	3
16	0	718	718	786	29	15	68	24	0
13	0	654	675	833	58	74	179	47	21
15	0	709	709	894	42	66	185	77	0
18	0	791	833	902	26	31	111	54	42
0	0	0	0	902	225	0	902	677	0
