id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	12	5	7	12	0	0
2	0	49	49	219	41	129	170	0	0
3	0	143	143	397	108	144	254	2	0
0	0	0	0	397	243	0	397	154	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	12	5	7	12	0	0
2	0	49	49	230	41	129	181	11	0
4	0	197	197	298	38	35	101	28	0
5	0	265	265	360	26	23	95	46	0
6	0	289	298	375	45	9	86	32	9
3	0	143	143	450	108	144	307	55	0
0	0	0	0	450	187	0	450	263	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	12	5	7	12	0	0
2	0	49	49	230	41	129	181	11	0
4	0	197	197	298	38	35	101	28	0
5	0	265	265	360	26	23	95	46	0
6	0	289	298	375	45	9	86	32	9
3	0	143	143	464	108	144	321	69	0
8	0	454	464	522	23	23	68	22	10
9	0	495	501	597	36	16	102	50	6
7	0	369	375	617	104	77	248	67	6
0	0	0	0	617	191	0	617	426	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	12	5	7	12	0	0
2	0	49	49	230	41	129	181	11	0
4	0	197	197	298	38	35	101	28	0
5	0	265	265	360	26	23	95	46	0
6	0	289	298	375	45	9	86	32	9
3	0	143	143	464	108	144	321	69	0
8	0	454	464	522	23	23	68	22	10
10	0	551	576	604	8	2	53	43	25
9	0	495	501	605	36	16	110	58	6
7	0	369	375	658	104	77	289	108	6
12	0	600	629	665	25	7	65	33	29
11	0	596	605	683	37	22	87	28	9
0	0	0	0	683	187	0	683	496	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	12	5	7	12	0	0
2	0	49	49	230	41	129	181	11	0
4	0	197	197	298	38	35	101	28	0
5	0	265	265	360	26	23	95	46	0
6	0	289	298	375	45	9	86	32	9
3	0	143	143	464	108	144	321	69	0
8	0	454	464	522	23	23	68	22	10
10	0	551	576	604	8	2	53	43	25
9	0	495	501	605	36	16	110	58	6
7	0	369	375	658	104	77	289	108	6
12	0	600	629	677	25	7	77	45	29
14	0	676	682	685	3	0	9	6	6
11	0	596	605	694	37	22	98	39	9
13	0	654	658	807	58	74	153	21	4
15	0	709	709	835	42	66	126	18	0
0	0	0	0	835	236	0	835	599	0
id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	12	5	7	12	0	0
2	0	49	49	230	41	129	181	11	0
4	0	197	197	298	38	35	101	28	0
5	0	265	265	360	26	23	95	46	0
6	0	289	298	375	45	9	86	32	9
3	0	143	143	464	108	144	321	69	0
8	0	454	464	522	23	23	68	22	10
10	0	551	576	604	8	2	53	43	25
9	0	495	501	605	36	16	110	58	6
7	0	369	375	658	104	77	289	108	6
12	0	600	629	677	25	7	77	45	29
14	0	676	682	685	3	0	9	6	6
11	0	596	605	694	37	22	98	39	9
16	0	718	718	783	29	15	65	21	0
17	0	743	746	810	23	0	67	44	3
13	0	654	658	859	58	74	205	73	4
15	0	709	709	887	42	66	178	70	0
18	0	791	810	895	26	31	104	47	19
0	0	0	0	895	218	0	895	677	0
